group 0,6195,6613,6330,6269,4429,6376,6520,7367,6553,6211,6185,6397,6367,6660,6108,6699,6362,6377,6445,6702,4501,6622,4762,5923,6271,5793
group 1,5797,5545,6379,6439,6089,6234,5849,6449,5766,6116,6729,,,,,,,,,,,,,,,
group 2,6993,5780,6065,6203,7562,6324,5705,6284,6284,6268,6792,7224,7559,6353,,,,,,,,,,,,
group 3,4726,5828,4963,5546,4984,5512,5418,,,,,,,,,,,,,,,,,,,
group 4,5785,6463,7030,,,,,,,,,,,,,,,,,,,,,,,
