APO Catalog,,,,,,20041,,,,,,,Cernis-52,,,,,,,23180,,,,,,,281159,,,,,,,23512,,,,,,,24534,,,,,,,24912,,,,,,,28482,,,,,,,37061,,,,,,,37903,,,,,,,43384,,,,,,,147084,,,,,,,147889,,,,,,,148579,,,,,,,166734,,,,,,,168625,,,,,,,175156,,,,,,,183143,,,,,,,190603,,,,,,,194279,,,,,,,Cyg-OB2-5,,,,,,,Cyg-OB2-12,,,,,,,204827,,,,,,,206267,,,,,,,223385,,,,,,
idx,Wav,FWHM,FWHM,xm2,xm2,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result
,A,km/s,A,km/s,A,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,
110,5652.34 ,72.89 ,1.37 ,22.91 ,0.43 ,,,1,3.4,,,L,,,1,5.6,,,L,,,1,0.9,,,L,5652.08,0.95,,1.9,0.6,0.3,D,5652.65,1.37,,2.4,0.3,0.4,D,,,1,1.9,,,L,,,1,1.3,,,L,,,1,2.6,,,L,,,1,0.7,,,L,,,1,1.6,,,L,5652.36,1.76,,4,0.7,0.52,D,,,1,10.4,,,L,,,1,3.3,,,L,,,1,3.3,,,L,5652.42,1.29,,3.9,0.4,0.4,D,,,1,1.8,,,L,,,1,1.4,,,L,5652.18,1.12,1,5.1,0.5,0.35,C,5652.27,0.97,,3,0.6,0.39,D,,,1,2.9,,,L,5652.24,1.9,,6.8,0.8,0.58,D,,,1,2.2,,,L,,,1,1.8,,,L,,,1,1.2,,,L,,,,,,,R
111,5669.12 ,35.29 ,0.67 ,12.37 ,0.23 ,,,,,,,R,,,1,5.6,,,L,5669.02,0.92,,2.4,0.4,0.28,D,5669.11,0.59,,2.6,0.5,0.25,D,,,1,1,,,L,5668.95,0.83,,4.8,0.5,0.25,D,,,1,1.4,,,L,,,,,,,R,,,1,0.6,,,L,,,1,1.2,,,L,5669.26,0.51,,2.7,0.2,0.23,D,,,,,,,R,,,1,2,,,L,,,1,2,,,L,5669.2,0.59,,5.2,0.6,0.22,D,5669.01,0.66,,2.6,0.4,0.2,D,,,,,,,R,5669.26,0.57,,2.3,0.3,0.18,D,,,,,,,R,5669.22,0.47,,2.4,0.4,0.19,D,5669.13,0.83,,4.2,0.6,0.25,D,5669.16,0.54,,6.6,0.6,0.21,D,5669.08,0.83,,7.6,0.2,0.27,D,5669.11,0.81,,2.7,0.4,0.25,D,,,,,,,R
112,5669.94 ,28.20 ,0.53 ,11.11 ,0.21 ,,,,,,,R,,,1,4,,,L,5670.04,0.85,,2.8,0.3,0.28,D,,,1,1.1,,,L,,,1,0.6,,,L,,,1,1.3,,,L,,,1,0.8,,,L,,,,,,,R,,,1,0.7,,,L,,,1,1.8,,,L,5670,0.71,,2.1,0.2,0.21,D,,,,,,,R,,,1,2.2,,,L,,,1,2.2,,,L,5670.04,0.46,,4.1,0.6,0.18,D,,,1,2.9,,,L,,,,,,,R,5669.93,0.63,,5.1,0.2,0.26,D,5669.78,0.09,,1.3,0.4,0.28,D,,,1,1.6,,,L,5669.94,0.65,,4.1,0.8,0.2,D,5669.91,0.42,,3.8,0.6,0.17,D,5669.88,0.51,,3.1,0.6,0.17,D,5669.89,0.56,,2,0.3,0.18,D,,,1,1,,,L
113,5671.89 ,73.31 ,1.39 ,22.74 ,0.43 ,5672.06,1.85,,5.6,0.7,0.56,D,,,1,10.1,,,L,,,1,2.7,,,L,,,1,2.1,,,L,,,1,1.5,,,L,,,1,4.3,,,L,5671.79,1.58,,2.6,0.4,0.36,D,,,1,2,,,L,,,1,1.2,,,L,,,1,1.5,,,L,5671.89,1.05,,2.8,0.5,0.32,D,,,,,,,R,,,1,2.1,,,L,,,1,2.1,,,L,5671.81,1.13,,3.6,0.9,0.45,D,,,1,4.7,,,L,,,1,2.8,,,L,5671.89,1.32,,3.9,0.6,0.46,D,,,1,0.9,,,L,,,1,2.6,,,L,,,1,3.4,,,L,,,1,5.8,,,L,,,1,3.6,,,L,,,1,2.4,,,L,,,1,2.5,,,L
114,5705.12 ,140.82 ,2.68 ,53.03 ,1.01 ,5705.06,2.76,,87.3,1.8,1.02,D,,,1,17.5,,,L,5704.76,2.06,,13.9,1.4,0.95,D,5705.32,2.86,,58.4,1.6,0.99,D,,,,,,,R,,,,,,,R,,,,,,,R,5705.1,2.28,,30.2,3.4,1.09,D,5705.33,2.49,,34.4,1.7,1,D,5705.33,2.6,,30.9,1.3,0.95,D,5705.09,2.48,,89,2.3,0.98,D,,,,,,,R,5705.17,2.7,,16.8,3.2,0.85,D,5705.17,2.7,,16.8,3.2,0.85,D,5705.24,2.53,,122.2,0.8,0.91,D,5705.01,2.62,,194.7,5.2,1.06,D,5705.13,2.97,,23.7,1.7,0.94,D,5705.22,2.63,,160.7,2.2,1.02,D,5705.11,2.47,,72.7,2.6,0.93,D,5704.98,3.07,,118.2,2.7,1.04,D,5705.04,2.92,,207.3,2.8,1.14,D,5705.15,2.77,,191.3,5.6,1.03,D,5705.2,2.93,,47.2,2.6,0.98,D,5704.79,2.95,,55.6,2.3,1.21,D,5705.1,2.66,,107.4,1.9,1.04,D
115,5706.50 ,27.73 ,0.53 ,10.19 ,0.19 ,,,1,0.7,,,L,,,1,2.8,,,L,,,1,1.1,,,L,5706.47,0.55,,2.2,0.1,0.17,D,,,,,,,R,,,,,,,R,,,,,,,R,5706.48,0.24,,2.2,0.3,0.17,D,,,1,0.7,,,L,,,1,1.2,,,L,,,1,0.7,,,L,,,,,,,R,5706.48,0.68,,2.6,0.3,0.27,D,5706.48,0.68,,2.6,0.3,0.27,D,,,1,0.8,,,L,,,1,1.9,,,L,5706.41,0.33,,2.7,0.2,0.16,D,,,1,0.6,,,L,,,1,5.7,,,L,5706.62,0.85,,5.9,0.5,0.26,D,,,1,0.6,,,L,5706.52,0.54,,4.2,0.5,0.18,D,5706.51,0.52,,4.9,0.1,0.18,D,,,1,0.4,,,L,,,1,2.1,,,L
116,5707.72 ,32.24 ,0.61 ,13.46 ,0.26 ,5707.56,0.62,,4.8,0.4,0.18,D,,,1,2.8,,,L,5707.87,0.89,,2.5,0.6,0.28,D,5707.73,0.67,,4.9,0.3,0.26,D,,,,,,,R,,,,,,,R,,,,,,,R,,,1,1.8,,,L,5707.81,0.64,,2.1,0.3,0.38,D,,,1,1.1,,,L,5707.68,0.52,,6.3,0.6,0.26,D,,,,,,,R,,,1,2.5,,,L,,,1,2.5,,,L,5707.86,0.67,,15.5,0.7,0.3,D,5707.68,0.44,,10,1.1,0.28,D,5707.81,0.32,,1,0.2,0.12,D,5707.81,0.64,,8.6,0.5,0.25,D,5707.6,0.86,,4.9,0.4,0.31,D,5707.85,0.55,,1.4,0.3,0.17,D,5707.71,0.78,,12.6,0.9,0.27,D,5707.62,0.34,,14.7,1.2,0.31,D,5707.76,0.58,,5.1,0.3,0.22,D,5707.72,0.76,,3.6,0.5,0.28,D,5707.6,1.02,,6,0.3,0.32,D
117,5710.58 ,30.38 ,0.58 ,11.38 ,0.22 ,5710.57,0.05,,5.2,0.2,0.24,D,5710.39,0.52,,4.7,0.8,0.18,D,5710.61,0.85,,6.9,0.3,0.29,D,5710.64,0.77,,4.3,0.3,0.25,D,5710.52,0.89,,1.6,0.2,0.26,D,5710.51,0.68,,3.5,0.2,0.22,D,,,,,,,R,,,,,,,R,,,1,0.4,,,L,5710.52,0.2,,0.6,0.1,0.07,D,,,,,,,R,,,,,,,R,5710.59,0.58,,2,0.3,0.18,D,5710.59,0.58,,2,0.3,0.18,D,5710.65,0.75,,9.6,0.3,0.23,D,,,,,,,R,5710.73,0.46,,11.4,0.2,0.24,D,,,,,,,R,,,,,,,R,,,,,,,R,5710.58,0.73,,7.4,0.1,0.25,D,,,,,,,R,5710.65,0.66,,12.4,0.4,0.25,D,5710.51,0.61,,2.3,0.2,0.21,D,5710.74,0.7,,3.6,0.2,0.27,D
118,5711.46 ,64.40 ,1.23 ,23.53 ,0.45 ,5710.94,1.58,,11.3,0.7,0.48,D,5710.94,1.26,,16.9,1.6,0.51,D,5711.42,0.38,,3.6,0.3,0.16,D,5711.03,1.39,,8.4,0.7,0.53,D,5711.29,1.54,,1.4,0.4,0.48,D,5711.44,0.37,,3.9,0.3,0.17,D,,,1,1.3,,,L,,,1,2,,,L,,,1,1,,,L,,,1,1.9,,,L,,,,,,,R,,,,,,,R,,,1,4.3,,,L,,,1,4.3,,,L,5711.08,1.44,,21.5,0.7,0.47,D,,,,,,,R,5711.5,0.33,,3.6,0.7,0.2,D,5711.17,1.34,,47.5,0.6,0.49,D,,,,,,,R,,,,,,,R,5711.14,1.24,,19.8,0.8,0.54,D,5711.43,0.38,,5,0.7,0.09,D,5711.43,0.54,1,14.8,0.3,0.21,C,5711.05,1.68,,8,0.6,0.57,D,5711.11,1.53,,6.9,0.5,0.51,D
119,5716.30 ,25.34 ,0.48 ,10.23 ,0.20 ,5716.38,0.76,,2.5,0.2,0.26,D,,,1,4.5,,,L,,,1,1,,,L,5716.39,0.38,,1.4,0.2,0.16,D,,,1,0.7,,,L,5716.4,0.4,,2.4,0.6,0.18,D,5716.26,0.39,,0.5,0.1,0.12,D,,,1,1.5,,,L,,,1,0.6,,,L,,,1,0.7,,,L,,,1,0.9,,,L,,,1,1.4,,,L,,,1,2.4,,,L,,,1,2.4,,,L,5716.32,0.46,,5,0.5,0.2,D,5716.22,0.6,,4.1,0.4,0.19,D,5716.13,0.23,,1,0.3,0.19,D,5716.27,0.47,,2.4,0.3,0.18,D,,,1,0.6,,,L,,,1,1.8,,,L,5716.26,0.46,,3.6,0.4,0.24,D,5716.27,0.36,,3.8,1.2,0.12,D,5716.31,0.52,,3.9,0.2,0.22,D,5716.25,0.44,,2.1,0.3,0.2,D,5716.37,0.74,,3.2,0.3,0.28,D
120,5719.57 ,41.86 ,0.80 ,18.46 ,0.35 ,5719.59,0.9,1,14.5,0.3,0.41,C,5719.57,1.16,,12.6,1.5,0.38,D,5719.84,1.11,1,15,1.1,0.41,C,5719.58,0.54,,9.9,0.3,0.39,D,,,1,1.2,,,L,5719.39,0.44,,4.3,0.6,0.21,D,5719.69,1.26,,5.4,0.4,0.45,D,5719.74,1.65,1,11.3,1.5,0.48,C,,,1,0.8,,,L,,,1,2,,,L,5719.46,0.89,,18.2,1.4,0.45,D,,,1,5.9,,,L,,,1,1.2,,,L,,,1,1.2,,,L,5719.68,0.77,,30.8,1.1,0.39,D,5719.6,1.15,,26.9,1.1,0.44,D,5719.64,0.65,,6.6,0.6,0.4,D,5719.74,0.9,1,21.5,0.3,0.42,C,5719.7,1.14,,7.2,0.6,0.34,D,5719.57,0.54,,15.4,0.9,0.2,D,5719.54,0.65,,13.5,0.7,0.33,D,5719.62,0.6,,34.8,2.5,0.42,D,5719.6,0.69,1,17.4,0.2,0.35,C,5719.5,0.76,,5.2,0.2,0.27,D,5719.61,0.85,,10,0.5,0.4,D
121,5732.67 ,74.09 ,1.42 ,25.64 ,0.49 ,,,1,3.5,,,L,,,1,12.3,,,L,,,,,,,R,,,1,2.7,,,L,,,1,2.5,,,L,,,1,3.4,,,L,5732.48,0.97,,2.2,0.4,0.29,D,5732.47,1.25,,6.9,2,0.37,D,,,1,2.2,,,L,5732.53,1.63,,5.6,1.1,0.47,D,,,1,3,,,L,,,,,,,R,,,1,5.7,,,L,,,1,5.7,,,L,,,1,4.1,,,L,,,1,8.2,,,L,,,1,1.8,,,L,5733.25,1.54,,3.8,1.1,0.49,D,,,,,,,R,,,,,,,R,5732.55,1.81,,6.8,1.8,0.6,D,,,1,10.3,,,L,5732.64,0.88,,6.5,0.7,0.62,D,,,1,3,,,L,5732.77,1.83,,5.7,0.9,0.59,D
122,5734.90 ,28.07 ,0.54 ,11.33 ,0.22 ,,,1,1,,,L,,,1,4.7,,,L,,,1,1.8,,,L,,,1,0.8,,,L,,,1,0.8,,,L,,,1,1.4,,,L,,,1,0.7,,,L,,,1,1.9,,,L,,,1,0.5,,,L,,,1,1,,,L,,,1,1.2,,,L,5734.72,0.8,,4.2,0.7,0.26,D,,,1,2.5,,,L,,,1,2.5,,,L,,,1,1.4,,,L,,,1,2.5,,,L,5734.81,0.34,,1.4,0.3,0.18,D,,,1,0.6,,,L,,,1,1.3,,,L,,,1,2.8,,,L,5735,0.64,,4,0.4,0.21,D,,,1,2.1,,,L,5735,0.54,,3.8,0.2,0.24,D,5734.99,0.36,,1.2,0.3,0.14,D,,,1,0.8,,,L
123,5735.89 ,24.02 ,0.46 ,8.93 ,0.17 ,5735.79,0.7,,1.5,0.3,0.23,D,,,1,2,,,L,,,1,0.8,,,L,5735.92,0.56,,1.5,0.1,0.16,D,,,1,0.4,,,L,5736.02,0.39,,1,0.3,0.13,D,,,1,0.4,,,L,5735.9,0.13,,1.5,0.4,0.18,D,,,1,0.5,,,L,,,1,0.2,,,L,,,1,0.9,,,L,5735.85,0.69,,3.4,0.4,0.22,D,,,1,1.2,,,L,,,1,1.2,,,L,5735.88,0.54,,2.8,0.1,0.19,D,5735.83,0.72,,4.4,0.3,0.25,D,5736.1,0.27,,0.7,0.2,0.1,D,5735.81,0.24,,0.6,0.1,0.11,D,,,1,0.9,,,L,,,1,1.4,,,L,5735.91,0.35,,2.4,0.2,0.19,D,5735.9,0.39,,3.4,0.4,0.13,D,5735.87,0.37,,2.1,0.2,0.14,D,,,1,0.7,,,L,,,1,0.4,,,L
124,5741.10 ,98.91 ,1.89 ,38.44 ,0.74 ,5740.7,2.48,,8.3,1.7,0.77,D,,,1,19.9,,,L,,,,,,,R,5741.05,2.34,,15.6,1.6,1.1,D,,,1,3.6,,,L,,,1,5.4,,,L,5741.5,1.9,,5.9,1.3,0.58,D,,,1,8.6,,,L,,,,,,,R,,,,,,,R,,,,,,,R,,,1,11.8,,,L,,,1,12.8,,,L,,,1,12.8,,,L,5741.44,1.87,,20,2,0.71,D,,,,,,,R,,,,,,,R,5740.5,1.39,,58.4,1.3,0.75,D,,,,,,,R,,,,,,,R,5741.25,1.47,,15.2,3.1,0.59,D,,,,,,,R,,,,,,,R,,,1,3.3,,,L,5741.25,1.8,,10.7,1.2,0.65,D
125,5744.70 ,62.42 ,1.20 ,23.76 ,0.46 ,5744.74,0.98,,6.7,0.7,0.5,D,,,1,8,,,L,,,1,2.3,,,L,5744.88,1.9,,10.5,0.8,0.61,D,,,1,1.4,,,L,,,1,2.2,,,L,5744.67,,,9,0.4,0.53,D,,,1,3.8,,,L,5744.66,1.57,,5,0.6,0.47,D,5744.73,1.76,,7.8,0.5,0.63,D,5744.51,1.45,,6.7,0.7,0.43,D,,,1,7,,,L,,,1,5.2,,,L,,,1,5.2,,,L,5744.78,0.65,,10.2,1.3,0.38,D,5744.76,1.61,,15.2,1.2,0.5,D,5744.52,0.88,,3.4,0.5,0.27,D,5744.75,1.25,,9.8,0.3,0.46,D,5744.81,1.51,,12.2,0.8,0.51,D,5744.72,0.93,,12.1,0.8,0.31,D,5744.57,1.07,,10.2,1.1,0.41,D,5744.73,0.57,,8.8,1.2,0.31,D,5744.77,1.17,,6.3,0.6,0.46,D,5744.75,1.41,,4.1,0.9,0.48,D,5744.41,0.82,1,2.5,0.8,0.32,C
126,5747.15 ,89.21 ,1.71 ,29.81 ,0.57 ,5747.54,2.75,1,36.7,1.5,0.99,C,,,1,8.8,,,L,,,1,2.8,,,L,5747.18,2.51,,20.8,1,0.72,D,,,1,2,,,L,,,1,4.2,,,L,5747.19,1.96,,7.3,1.1,0.63,D,,,,,,,R,5747.3,1.15,,3.6,1,0.43,D,5747.23,1.82,,13.2,0.7,0.57,D,5747.4,1.47,1,43.2,1.3,0.95,C,,,,,,,R,,,1,5.9,,,L,,,1,5.9,,,L,5747.11,1.34,,18.8,0.8,0.53,D,5747.11,1.85,,38.7,2.4,0.65,D,5747.35,1.09,,7.9,0.9,0.4,D,,,,,,,R,,,,,,,R,,,,,,,R,5746.9,1.23,,21.6,1,0.46,D,5747.07,2.59,1,36.8,1.6,0.74,C,5747.23,1.24,1,8,0.9,0.51,C,5746.86,2.16,,8.3,0.7,0.64,D,,,,,,,R
127,5749.18 ,44.22 ,0.85 ,18.42 ,0.35 ,5749.04,0.77,,5.9,0.2,0.3,D,,,1,4.6,,,L,,,1,1,,,L,5749.22,1.1,,5.2,0.4,0.37,D,,,1,0.8,,,L,,,1,1.7,,,L,5749.03,,,1.1,0.3,0.24,D,,,1,2.7,,,L,,,1,1.4,,,L,5749.24,0.29,,2.7,0.3,0.3,D,5749.18,0.83,1,4.9,0.3,0.27,C,5749.29,0.23,,4,0.8,0.29,D,,,1,2.1,,,L,,,1,2.1,,,L,5749.15,1.3,,8.4,0.6,0.41,D,5749.12,0.05,,3.9,1,0.35,D,5748.85,1.11,,8.2,1.3,0.55,D,,,,,,,R,,,,,,,R,5749.42,0.61,,3,0.6,0.25,D,5748.93,1.8,,16.8,0.7,0.54,D,5749.1,0.35,1,10.8,0.9,0.44,C,5749.35,0.98,,5.1,0.5,0.34,D,5749.5,0.83,,1.8,0.3,0.3,D,,,1,1.6,,,L
128,5753.51 ,28.55 ,0.55 ,10.56 ,0.20 ,,,1,0.7,,,L,,,1,3,,,L,,,1,0.7,,,L,,,1,0.6,,,L,,,1,0.7,,,L,5753.41,0.61,,2.2,0.3,0.21,D,,,1,0.5,,,L,,,1,2,,,L,,,1,0.8,,,L,,,1,0.7,,,L,,,1,1.3,,,L,,,,,,,R,,,1,2.5,,,L,,,1,2.5,,,L,5753.55,0.41,,1.8,0.3,0.14,D,,,1,1.7,,,L,,,1,1.4,,,L,5753.51,0.45,,1.4,0.3,0.15,D,5753.57,0.6,,2.6,0.4,0.23,D,,,1,0.9,,,L,5753.53,0.17,,1.4,0.4,0.17,D,,,1,1,,,L,5753.46,0.5,,2.5,0.4,0.19,D,5753.52,0.84,,1.7,0.2,0.24,D,,,1,0.6,,,L
129,5756.10 ,42.96 ,0.82 ,14.52 ,0.28 ,,,1,1.5,,,L,,,1,4.9,,,L,,,1,1.6,,,L,5755.99,0.55,,1.4,0.3,0.17,D,,,1,0.8,,,L,,,1,1.3,,,L,,,1,0.9,,,L,,,1,1.9,,,L,,,1,0.5,,,L,,,1,1.1,,,L,5756,0.75,,3,0.5,0.26,D,,,1,3.8,,,L,,,1,2.5,,,L,,,1,2.5,,,L,5756.13,0.78,,3.9,0.3,0.31,D,,,1,2.2,,,L,5756.27,1.33,,2.5,0.3,0.39,D,,,1,1,,,L,,,1,2.2,,,L,,,1,2.6,,,L,5756.02,0.75,,2.3,0.4,0.26,D,,,1,3.8,,,L,5756.11,0.71,,3.9,0.3,0.25,D,,,1,0.8,,,L,,,1,0.8,,,L
130,5758.92 ,32.22 ,0.62 ,11.61 ,0.22 ,,,1,1.1,,,L,,,1,5.5,,,L,,,1,1,,,L,,,1,0.9,,,L,,,1,0.9,,,L,5758.81,0.87,,2,0.4,0.25,D,,,1,1.1,,,L,5759.09,1,,3.5,0.9,0.35,D,,,1,0.6,,,L,,,1,1,,,L,,,1,0.9,,,L,,,1,3.1,,,L,,,1,2,,,L,,,1,2,,,L,5758.88,0.63,,2.2,0.3,0.21,D,,,1,4.2,,,L,,,1,0.9,,,L,5758.82,0.44,,1.8,0.4,0.22,D,,,1,1.6,,,L,5759.05,0.41,,3.1,0.8,0.17,D,,,1,1.5,,,L,,,1,4.6,,,L,5758.88,0.45,,1.7,0.3,0.2,D,,,1,1.3,,,L,5758.94,0.53,,1,0.3,0.16,D
131,5760.48 ,37.58 ,0.72 ,13.86 ,0.27 ,,,1,1.5,,,L,,,1,7.2,,,L,5760.39,0.38,,2,0.2,0.21,D,5760.58,0.85,,3.5,0.3,0.28,D,,,1,0.8,,,L,,,1,1.9,,,L,,,1,0.5,,,L,,,1,2.4,,,L,,,1,0.7,,,L,,,1,0.6,,,L,5760.21,0.72,,2.3,0.4,0.31,D,,,1,2.9,,,L,5760.22,0.95,,5.7,0.8,0.29,D,5760.22,0.95,,5.7,0.8,0.29,D,5760.51,0.68,,5.5,0.2,0.25,D,5760.49,0.65,,2.4,0.7,0.22,D,5760.4,0.6,,2.2,0.4,0.19,D,5760.57,0.68,,3.3,0.4,0.29,D,,,1,1.2,,,L,,,1,1.9,,,L,5760.59,0.55,,4.1,0.4,0.28,D,,,1,2.9,,,L,5760.53,0.62,,7.1,0.3,0.28,D,5760.6,1.01,,2.6,0.3,0.29,D,5760.66,0.75,,2.5,0.2,0.23,D
132,5762.68 ,28.29 ,0.54 ,11.16 ,0.21 ,5762.54,0.39,,4.2,0.3,0.21,D,5762.73,0.52,,6.2,1.5,0.16,D,5762.69,0.51,,4.9,0.4,0.21,D,5762.72,0.56,,5.3,0.2,0.18,D,,,1,0.6,,,L,5762.71,0.56,,5.6,0.3,0.25,D,5762.75,0.31,,1.4,0.2,0.19,D,,,1,2.1,,,L,,,1,0.9,,,L,,,1,1,,,L,5762.64,0.52,,4.8,0.2,0.21,D,,,,,,,R,5762.73,0.81,,5.5,0.8,0.26,D,5762.73,0.81,,5.5,0.8,0.26,D,5762.75,0.56,,15.6,0.4,0.23,D,5762.57,0.58,,11.9,0.8,0.27,D,5762.64,0.48,,4.9,0.3,0.23,D,5762.7,0.58,,4.9,0.2,0.2,D,,,1,1.1,,,L,,,1,1.9,,,L,5762.75,0.43,,4.9,0.6,0.13,D,5762.67,0.53,,9.1,0.5,0.18,D,5762.72,0.51,,12.6,0.2,0.2,D,5762.65,0.56,,4,0.3,0.22,D,5762.68,0.77,,2.2,0.4,0.28,D
133,5766.16 ,39.34 ,0.76 ,18.71 ,0.36 ,5766.1,1.04,,10.4,0.6,0.38,D,5765.96,0.57,,8.5,1.7,0.24,D,5766.08,0.6,,9.9,0.4,0.31,D,5766.26,0.67,,9.7,0.3,0.29,D,,,1,0.9,,,L,5766.21,0.64,,7.7,0.4,0.26,D,5766.18,0.71,,6.1,0.2,0.31,D,5765.95,0.56,,9.2,1.1,0.32,D,5766.16,0.73,,1.3,0.3,0.21,D,5766.16,0.8,,3.2,0.3,0.32,D,5766.25,0.63,,11.8,0.6,0.46,D,5766.12,0.76,,9.1,0.8,0.32,D,5766.07,0.64,,9.4,0.5,0.34,D,5766.07,0.64,,9.4,0.5,0.34,D,5766.18,0.85,,43.4,1.3,0.47,D,5766.26,0.64,,28.3,2.9,0.63,D,5766.08,0.8,1,5.7,0.3,0.47,C,5766.24,0.62,,17,0.2,0.31,D,5766.24,1.58,,11.3,0.5,0.52,D,,,,,,,R,5766.12,0.76,,20.2,0.9,0.4,D,5766.16,0.82,,36.5,0.8,0.32,D,5766.14,0.5,,20.7,0.4,0.43,D,5766.23,1.29,,11.7,0.4,0.49,D,5766.27,0.68,,9.6,0.6,0.51,D
134,5767.81 ,40.05 ,0.77 ,19.35 ,0.37 ,,,1,1.7,,,L,,,1,6.7,,,L,,,1,3.7,,,L,,,1,2.3,,,L,,,1,1.2,,,L,,,1,3.5,,,L,,,1,2.3,,,L,,,,,,,R,,,1,0.7,,,L,5768.12,1.56,,3.8,0.2,0.43,D,,,,,,,R,5767.88,,,16.4,0.9,0.45,D,,,1,5.9,,,L,,,1,5.9,,,L,,,,,,,R,,,1,4.3,,,L,,,1,12.5,,,L,,,1,0.6,,,L,,,,,,,R,5767.94,0.36,,14.8,3.8,0.24,D,5767.72,1.1,,5.9,0.9,0.33,D,5767.8,0.14,,8,1.1,0.34,D,5767.51,0.28,,1.5,0.3,0.31,D,,,1,2.1,,,L,,,1,1.8,,,L
135,5769.09 ,31.10 ,0.60 ,11.73 ,0.23 ,5768.94,0.47,,1.8,0.5,0.18,D,5769.08,0.54,,13,0.7,0.2,D,5769.15,0.41,,4.9,0.4,0.22,D,5769.08,0.56,,8.9,0.2,0.22,D,,,1,0.6,,,L,5769.08,0.51,,3.9,0.3,0.2,D,5769.09,0.63,,2.4,0.1,0.25,D,5768.92,0.89,,5.6,0.7,0.26,D,,,1,0.5,,,L,,,1,0.2,,,L,5769.17,0.66,,2.4,0.3,0.2,D,5769.17,0.63,,12.6,0.6,0.21,D,,,1,5.2,,,L,,,1,5.2,,,L,5769.07,0.58,,10.2,0.5,0.23,D,5769.17,0.98,,6,0.8,0.37,D,5769.06,0.52,,7.1,0.2,0.22,D,5769.06,0.46,,1.9,0.3,0.17,D,,,,,,,R,5769.2,0.8,,17.3,0.3,0.24,D,5769.12,0.64,,14.1,0.4,0.24,D,5769.14,0.53,,19.9,0.7,0.19,D,5769.09,0.56,,20.8,0.2,0.23,D,5769.07,0.5,,5.6,0.1,0.22,D,5769.13,0.52,,3.6,0.1,0.23,D
