APO Catalog,,,,,,20041,,,,,,,Cernis-52,,,,,,,23180,,,,,,,281159,,,,,,,23512,,,,,,,24534,,,,,,,24912,,,,,,,28482,,,,,,,37061,,,,,,,37903,,,,,,,43384,,,,,,,147084,,,,,,,147889,,,,,,,148579,,,,,,,166734,,,,,,,168625,,,,,,,175156,,,,,,,183143,,,,,,,190603,,,,,,,194279,,,,,,,Cyg-OB2-5,,,,,,,Cyg-OB2-12,,,,,,,204827,,,,,,,206267,,,,,,,223385,,,,,,
idx,Wav,FWHM,FWHM,xm2,xm2,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result,Mea Wav,Mea FWHM,UL,Mea EW,Mea Err,xm2,Result
,A,km/s,A,km/s,A,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,,A,A,,mA,mA,A,
10,4680.24 ,45.83 ,0.72 ,18.11 ,0.28 ,,,1,1.3,,,L,,,1,9.4,,,L,4680.28,0.84,,2.1,0.2,0.25,D,4680.23,0.52,,4.1,0.4,0.25,D,4680.35,0.87,,2.6,0.4,0.33,D,,,1,1.1,,,L,,,1,1.2,,,L,,,1,2.7,,,L,,,1,1.4,,,L,,,1,1.4,,,L,,,1,1.5,,,L,,,,,,,R,,,1,1.4,,,L,,,1,1.4,,,L,,,1,1.6,,,L,,,1,9.1,,,L,4680.22,0.56,,2.5,0.7,0.25,D,,,1,1.8,,,L,,,1,1.2,,,L,4680.12,0.74,,12.7,0.8,0.32,D,,,1,8.3,,,L,,,1,19.8,,,L,4680.19,0.7,,8.8,0.3,0.23,D,4680.24,0.75,,5.3,0.2,0.32,D,,,1,2.1,,,L
11,4683.03 ,29.21 ,0.46 ,11.06 ,0.17 ,4682.95,0.38,,3.3,0.3,0.17,D,4683.13,0.45,,14.9,2.9,0.2,D,4683.04,0.46,,5.7,0.3,0.18,D,4683.02,0.46,,8.3,0.3,0.18,D,,,1,0.4,,,L,4682.94,0.43,,3.8,0.4,0.21,D,,,1,0.7,,,L,4682.98,0.36,,2.6,0.7,0.13,D,,,1,0.5,,,L,,,1,1,,,L,4683.19,0.4,,2.7,0.3,0.16,D,4682.99,0.44,,10,1.7,0.17,D,4682.98,0.44,,3.6,0.7,0.17,D,4682.98,0.44,,3.6,0.7,0.17,D,4683.08,0.46,,4,0.6,0.15,D,4682.99,0.46,,9.4,1.5,0.23,D,4683.01,0.46,,6,0.2,0.16,D,4683.01,0.49,,2.1,0.4,0.15,D,,,1,1.6,,,L,4682.99,0.61,,13.3,0.7,0.22,D,4683.1,0.48,,12.6,0.6,0.18,D,,,1,13.9,,,L,4683.04,0.46,1,21,0.3,0.16,C,4683.06,0.46,,3.3,0.1,0.16,D,,,1,1.4,,,L
12,4688.84 ,26.87 ,0.42 ,10.88 ,0.17 ,,,1,1.4,,,L,,,1,6.8,,,L,4688.95,0.61,,2.2,0.2,0.19,D,4688.87,0.39,,3.9,0.5,0.15,D,,,1,0.7,,,L,,,1,1.2,,,L,,,1,6.2,,,L,,,1,2.2,,,L,,,1,1.9,,,L,4688.77,0.46,,0.9,0.2,0.14,D,,,1,1.8,,,L,4688.73,0.36,,6.9,1.6,0.19,D,,,1,2,,,L,,,1,2,,,L,,,,,,,R,,,1,4,,,L,,,1,1.3,,,L,,,1,0.9,,,L,,,1,0.7,,,L,,,1,2.8,,,L,,,1,6.8,,,L,,,1,16.2,,,L,4688.92,0.53,1,9.4,0.6,0.21,C,4688.78,0.13,,2.5,0.5,0.2,D,,,1,1.4,,,L
13,4699.29 ,116.61 ,1.83 ,37.24 ,0.58 ,,,1,3.1,,,L,,,1,18.8,,,L,,,,,,,R,,,1,3.2,,,L,,,1,2.6,,,L,4699.37,1.03,,4.4,1.3,0.37,D,,,1,2.6,,,L,,,1,6.3,,,L,,,,,,,R,,,,,,,R,,,,,,,R,,,,,,,R,,,1,6,,,L,,,1,6,,,L,4699.12,2.28,,9.3,1.5,0.66,D,,,1,15.2,,,L,,,1,3.6,,,L,4699.32,1.25,,7.4,1,0.46,D,,,,,,,R,,,,,,,R,,,1,5.7,,,L,,,1,32.1,,,L,,,,,,,R,4699.43,1.95,,9.2,1,0.63,D,,,,,,,R
14,4726.98 ,174.89 ,2.76 ,83.50 ,1.32 ,4726.86,2.99,,113,2.5,1.37,D,4727.05,3.13,,185.1,13.6,1.4,D,4726.63,2.58,,82.4,2.5,1.42,D,4726.91,2.73,,112.3,4,1.3,D,,,,,,,R,4727.04,2.62,,76.2,2.7,1.32,D,4726.71,3.07,,54.1,1.7,1.41,D,4726.71,2.47,1,53,4.2,1.11,C,4726.96,2.09,,12.9,1.9,0.99,D,4727.11,3.18,,24.7,1.8,1.12,D,4727.18,2.23,,120.7,3.5,1.42,D,4727.52,2.83,1,126.2,12.2,0.82,C,4727.09,2.95,,69.9,6.4,1.16,D,4727.09,2.95,,69.9,6.4,1.16,D,4727.06,3.02,,198.5,4,1.4,D,4727.29,2.24,,117.5,9.9,1.11,D,4726.99,3.14,,105.5,2.7,1.38,D,4727.1,2.75,,164.3,3.1,1.28,D,4726.99,3.05,,90.8,3.4,1.35,D,4726.73,2.37,,190,5.5,1.37,D,4726.9,2.26,,266.8,8,1.35,D,4727.16,2.9,,277.3,20.8,1.22,D,4726.85,2.51,,272.3,3.7,1.38,D,4726.93,3.04,,141.1,2.9,1.41,D,4727.06,3.15,1,111.9,3.6,1.14,C
15,4734.77 ,26.31 ,0.42 ,10.73 ,0.17 ,,,1,1.7,,,L,4734.84,0.51,,13,1.5,0.17,D,4734.8,0.22,,2.2,0.4,0.14,D,4734.77,0.34,,5,0.3,0.15,D,4734.6,0.47,,1.7,0.2,0.2,D,,,1,1,,,L,,,1,1,,,L,,,1,2.2,,,L,4734.83,0.76,,1.2,0.2,0.24,D,4734.62,0.23,,1.3,0.3,0.13,D,,,1,1.7,,,L,4734.82,0.48,,11.3,1.6,0.19,D,,,1,2.1,,,L,,,1,2.1,,,L,4734.8,0.27,,1.9,0.4,0.18,D,,,1,2.8,,,L,4734.74,0.31,,2.3,0.4,0.13,D,,,1,0.6,,,L,4734.93,0.5,,1.9,0.4,0.17,D,4734.76,0.37,,9.4,0.9,0.21,D,4734.8,0.48,,8.9,0.4,0.18,D,4734.75,0.48,,17.3,2,0.16,D,4734.79,0.39,,15,0.5,0.16,D,4734.78,0.38,,6.1,0.2,0.17,D,4734.75,0.4,,1.8,0.5,0.13,D
17,4762.44 ,122.21 ,1.94 ,51.41 ,0.82 ,4762.44,2.02,,39,1.7,0.79,D,,,,,,,R,4762.28,1.81,,16,0.9,0.81,D,4762.49,1.98,,27,1.1,0.81,D,,,,,,,R,4762.31,2.25,,19.9,1.4,0.84,D,4762.24,2.35,,16.7,1.6,0.83,D,4762.53,1.45,,10.4,1.6,0.51,D,4762.21,2.77,,11.1,1.1,0.9,D,4762.77,3,,10.3,1.4,0.9,D,4762.5,2.19,,60.7,1.9,1,D,,,,,,,R,4762.24,2.55,,22.9,3.6,0.7,D,4762.24,2.55,,22.9,3.6,0.7,D,4762.51,1.96,,83.9,2.5,0.95,D,4762.64,1.9,,40.4,4.3,0.64,D,4762.55,1.4,,22.2,1.3,0.76,D,4762.52,2.29,1,105.3,2.4,0.96,C,4762.47,2.25,,55.5,1.2,0.87,D,4762.31,2.02,,86.2,3.3,1.05,D,4762.44,1.75,,97.6,2.3,0.87,D,4762.4,2.6,,71,8.4,0.86,D,4762.47,0.99,,49.1,1.5,0.76,D,4762.55,1.57,,42.8,1.2,0.88,D,4762.51,1.73,1,69.9,1.3,0.79,C
18,4780.10 ,96.42 ,1.54 ,45.66 ,0.73 ,4779.85,0.91,1,35.5,1.4,0.63,C,,,1,15.5,,,L,4779.84,1.38,1,9.5,0.8,0.56,C,4779.86,1.29,,16.1,1.4,0.63,D,,,,,,,R,4780.19,2.22,,37.4,4.5,0.94,D,4780.14,1.34,,16.7,1.1,0.74,D,4780.14,1.3,1,21,1.9,0.81,C,4780.14,2.11,1,12.6,0.8,0.8,C,4779.96,2.77,1,20.8,1.3,0.96,C,,,,,,,R,,,,,,,R,4780.18,1.55,,17.8,2.5,0.47,D,4780.18,1.55,,17.8,2.5,0.47,D,4780.1,1.42,,52.8,1.8,0.73,D,4780,1.67,1,62.3,5.1,0.7,C,4779.77,1.1,1,27.5,0.8,0.7,C,4780.19,1.44,,70.8,1.7,0.75,D,4780.35,1.44,1,66.1,1.3,0.77,C,,,,,,,R,4780.07,1.47,,63.9,3.3,0.79,D,,,,,,,R,4780.04,1.48,1,38.2,1,0.65,C,4780.08,1.56,,25.2,1.1,0.77,D,,,,,,,R
19,4817.62 ,21.92 ,0.35 ,8.47 ,0.14 ,,,1,0.9,,,L,,,1,2.7,,,L,,,1,0.5,,,L,4817.55,0.39,,1.3,0.1,0.12,D,4817.7,0.68,,1,0.2,0.21,D,4817.62,0.28,,0.7,0.1,0.09,D,,,1,0.8,,,L,4817.58,0.25,,3.4,0.4,0.13,D,,,1,0.7,,,L,,,1,0.5,,,L,4817.77,0.56,,1.6,0.4,0.17,D,,,,,,,R,4817.59,0.09,,1.6,0.3,0.21,D,4817.59,0.09,,1.6,0.3,0.21,D,,,1,0.8,,,L,,,1,2.6,,,L,4817.62,0.21,,0.8,0.2,0.08,D,,,1,1,,,L,,,1,0.7,,,L,,,1,2.2,,,L,4817.59,0.39,,3.4,0.6,0.13,D,,,1,6.3,,,L,4817.63,0.31,,3.6,0.2,0.1,D,4817.58,0.36,,0.9,0.2,0.12,D,,,1,0.4,,,L
20,4881.63 ,462.76 ,7.53 ,240.08 ,3.91 ,4884.2,11.44,1,187.3,11.9,4.03,C,,,,,,,R,,,,,,,R,,,1,81.6,,,L,,,,,,,R,,,,,,,R,,,,,,,R,,,1,70.7,,,L,,,,,,,R,,,,,,,R,,,,,,,R,,,,,,,R,,,1,137,,,L,,,1,137,,,L,4881.83,12.05,,274.8,17.9,4.34,D,4882,0.27,,342.8,34.9,3.58,D,,,,,,,R,4881.06,10.27,,295.9,11.9,3.8,D,4880.08,12.18,1,199.1,7.8,4.94,C,4881.12,3.1,1,471.4,30.5,5.26,C,,,,,,,R,4880.41,12.63,,540,69.8,5.57,D,4884.87,12.25,1,91,12.1,4.33,C,,,,,,,R,4880.55,0.86,1,685,39,6.05,C
